subject,word,syllable,start_time,end_time,word_len_syls,syl_position,closed_syl,is_initial,is_final,is_penultimate,is_first_heavy,is_last_heavy,preceding_heavy,following_heavy,gesture
A,a.mé.ri.ki.liq.lar,a,77.208,77.308,6,0,False,True,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq.lar,me,77.308,77.448,6,1,False,False,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq.lar,ri,77.448,77.598,6,2,False,False,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq.lar,ki,77.598,77.658,6,3,False,False,False,False,False,False,False,True,0
A,a.mé.ri.ki.liq.lar,liq,77.658,77.818,6,4,True,False,False,True,True,False,False,True,0
A,a.mé.ri.ki.liq.lar,lar,77.818,77.978,6,5,True,False,True,False,False,True,True,False,0
A,uy.ghur.che,uj,77.978,78.108,3,0,True,True,False,False,True,False,False,True,0
A,uy.ghur.che,ʁur,78.108,78.228,3,1,True,False,False,True,False,True,True,False,0
A,uy.ghur.che,t͡ʃɛ,78.228,78.318,3,2,False,False,True,False,False,False,True,False,0
A,qan.daq,qan,78.318,78.498,2,0,True,True,False,True,True,False,False,True,0
A,qan.daq,daq,78.498,78.638,2,1,True,False,True,False,False,True,True,False,0
A,söz.ley.du,søz,78.638,78.918,3,0,True,True,False,False,True,False,False,True,0
A,söz.ley.du,lɛj,78.918,79.118,3,1,True,False,False,True,False,True,True,False,0
A,söz.ley.du,du,79.118,79.348,3,2,False,False,True,False,False,False,True,False,0
A,biz.ning,biz,79.348,79.528,2,0,True,True,False,True,True,False,False,True,0
A,biz.ning,niŋ,79.528,79.668,2,1,True,False,True,False,False,True,True,False,0
A,uy.ghur.lar,uj,79.668,79.778,3,0,True,True,False,False,True,False,False,True,0
A,uy.ghur.lar,ʁur,79.778,79.958,3,1,True,False,False,True,False,False,True,True,0
A,uy.ghur.lar,lar,79.958,80.098,3,2,True,False,True,False,False,True,True,False,0
A,bil.mey.du,bil,80.098,80.288,3,0,True,True,False,False,True,False,False,True,0
A,bil.mey.du,mɛj,80.288,80.538,3,1,True,False,False,True,False,True,True,False,0
A,bil.mey.du,du,80.538,80.718,3,2,False,False,True,False,False,False,True,False,0
A,dep,dɛp,80.718,80.988,1,0,True,True,True,False,True,True,False,False,0
A,be.zi,bɛ,80.988,81.118,2,0,False,True,False,True,False,False,False,False,0
A,be.zi,zi,81.118,81.288,2,1,False,False,True,False,False,False,False,False,0
A,a.ta.a.ni.lar,a,81.288,81.398,5,0,False,True,False,False,False,False,False,True,0
A,a.ta.a.ni.lar,ta,81.398,81.548,5,1,False,False,False,False,False,False,False,True,0
A,a.ta.a.ni.lar,a,81.548,81.588,5,0,False,True,False,False,False,False,False,True,0
A,a.ta.a.ni.lar,ni,81.588,81.658,5,3,False,False,False,True,False,False,False,True,0
A,a.ta.a.ni.lar,lar,81.658,81.978,5,4,True,False,True,False,True,True,False,False,0
A,shun.daq,ʃun,82.508,82.698,2,0,True,True,False,True,True,False,False,True,0
A,shun.daq,daq,82.698,82.888,2,1,True,False,True,False,False,True,True,False,0
A,hé.li.qi,he,82.888,82.958,3,0,False,True,False,False,False,False,False,False,0
A,hé.li.qi,li,82.958,83.038,3,1,False,False,False,True,False,False,False,False,0
A,hé.li.qi,qi,83.038,83.268,3,2,False,False,True,False,False,False,False,False,0
A,he,hɛ,84.12633435046652,84.67233040741134,1,0,False,True,True,False,False,False,False,False,0
A,ghem,ʁɛm,84.77967878470896,85.008,1,0,True,True,True,False,True,True,False,False,0
A,yep,jɛp,85.008,85.228,1,0,True,True,True,False,True,True,False,False,0
A,ké.ti.du,ke,85.228,85.308,3,0,False,True,False,False,False,False,False,False,0
A,ké.ti.du,ti,85.308,85.438,3,1,False,False,False,True,False,False,False,False,0
A,ké.ti.du,du,85.438,85.638,3,2,False,False,True,False,False,False,False,False,0
A,biz.mu,biz,85.668,85.918,2,0,True,True,False,True,True,True,False,False,0
A,biz.mu,mu,85.918,85.988,2,1,False,False,True,False,False,False,True,False,0
A,ba.li.lar.gha,ba,85.988,86.138,4,0,False,True,False,False,False,False,False,True,0
A,ba.li.lar.gha,li,86.138,86.218,4,1,False,False,False,False,False,False,False,True,0
A,ba.li.lar.gha,lar,86.218,86.368,4,2,True,False,False,True,True,True,False,False,0
A,ba.li.lar.gha,ʁa,86.368,86.468,4,3,False,False,True,False,False,False,True,False,0
A,ö.gü.tey.li,ø,86.468,86.528,4,0,False,True,False,False,False,False,False,True,0
A,ö.gü.tey.li,ɡy,86.528,86.638,4,1,False,False,False,False,False,False,False,True,0
A,ö.gü.tey.li,tɛj,86.638,86.918,4,2,True,False,False,True,True,True,False,False,0
A,ö.gü.tey.li,li,86.918,87.198,4,3,False,False,True,False,False,False,True,False,0
A,dep,dɛp,87.228,87.565,1,0,True,True,True,False,True,True,False,False,0
A,ti.rish.chan.liq,ti,113.1262,113.1862,4,0,False,True,False,False,False,False,False,True,0
A,ti.rish.chan.liq,riʃ,113.1862,113.3562,4,1,True,False,False,False,True,False,False,True,0
A,ti.rish.chan.liq,t͡ʃan,113.3562,113.5262,4,2,True,False,False,True,False,False,True,True,0
A,ti.rish.chan.liq,liq,113.5262,113.6562,4,3,True,False,True,False,False,True,True,False,0
A,hem,hɛm,120.477,120.667,1,0,True,True,True,False,True,True,False,False,0
A,za.lim,za,120.667,120.977,2,0,False,True,False,True,False,False,False,True,0
