Subject,t1_ph,t2_ph,label_ph,t1_wd,t2_wd,label_wd,t1_st,t2_st,label_st,seg_type,t1_ax,t2_ax,final,num_syls,gesture_syl,is_onset,closed_syl
Elise (C),202.8543,202.9043,ɛ,202.7443,203.2643,تەغدىرىمىز,202.3649543,208.549,بىزنىڭ تەغدىرىمىز قانداق بولار بەلكىم خۇدايىم بۇيرۇسا ۋەتەن ئازاد بولاپ مۇتەخەسىسلەر كېرەك بوپ قالار شۇنداقمۇ,consonant,202.866,202.9,0,4,,,
Elise (C),203.1543,203.2043,i,202.7443,203.2643,تەغدىرىمىز,202.3649543,208.549,بىزنىڭ تەغدىرىمىز قانداق بولار بەلكىم خۇدايىم بۇيرۇسا ۋەتەن ئازاد بولاپ مۇتەخەسىسلەر كېرەك بوپ قالار شۇنداقمۇ,vowel,203.166,203.2,,,,,
Elise (C),204.3443,204.4143,k,204.1743,204.5143,بەلكىم,202.3649543,208.549,بىزنىڭ تەغدىرىمىز قانداق بولار بەلكىم خۇدايىم بۇيرۇسا ۋەتەن ئازاد بولاپ مۇتەخەسىسلەر كېرەك بوپ قالار شۇنداقمۇ,consonant,204.4,204.433,1,2,,,
Elise (C),204.7543,204.7843,i,204.5143,204.8143,خۇدايىم,202.3649543,208.549,بىزنىڭ تەغدىرىمىز قانداق بولار بەلكىم خۇدايىم بۇيرۇسا ۋەتەن ئازاد بولاپ مۇتەخەسىسلەر كېرەك بوپ قالار شۇنداقمۇ,vowel,204.766,204.8,1,3,,,
Elise (C),206.8843,206.9643,s,206.3943,207.0543,مۇتەخەسىسلەر,202.3649543,208.549,بىزنىڭ تەغدىرىمىز قانداق بولار بەلكىم خۇدايىم بۇيرۇسا ۋەتەن ئازاد بولاپ مۇتەخەسىسلەر كېرەك بوپ قالار شۇنداقمۇ,consonant,206.933,206.966,,,,,
Elise (C),209.5781,209.6681,b,209.5781,210.0881,باشقۇرۇش,208.9481,210.6681,شۇ ۋەتەننى باشقۇرۇش كېرەك,consonant,209.633,209.666,0,3,,,
Elise (C),211.6937,211.7337,j,211.6337,212.0237,ئۇيغۇرچە,211.1437391,213.1637,ئىشلارنى ئۇيغۇرچە يۈرگۈزۈش كېرەك,consonant,211.7,211.733,0,3,,,
Elise (C),214.0628,214.1728,u,214.0628,214.3728,ئۇنتۇپ,213.48272,215.92825,شۇڭا تىلنى ئۇنتۇپ قالماسلىق كېرەك ئەمدى تىل دېگەن,vowel,214.133,214.166,0,2,,,
Elise (C),216.5464,216.5964,r,216.1864,216.6964,ئۇيغۇرلارنىڭ,216.1862836,218.8748263,ئۇيغۇرلارنىڭ ئەمدى مەدەنىيەتنىڭ مۇھىم بىر پارچىسى,consonant,216.566,216.6,0,4,,,
Elise (C),216.8364,216.8664,d,216.6964,216.8964,ئەمدى,216.1862836,218.8748263,ئۇيغۇرلارنىڭ ئەمدى مەدەنىيەتنىڭ مۇھىم بىر پارچىسى,consonant,216.866,216.9,1,2,,,
Elise (C),217.0664,217.1464,ɛ,216.8964,217.620944,مەدەنىيەتنىڭ,216.1862836,218.8748263,ئۇيغۇرلارنىڭ ئەمدى مەدەنىيەتنىڭ مۇھىم بىر پارچىسى,consonant,217.1,217.133,0,4,,,
Elise (C),217.8164,217.8764,m,217.8164,218.1564,مۇھىم,216.1862836,218.8748263,ئۇيغۇرلارنىڭ ئەمدى مەدەنىيەتنىڭ مۇھىم بىر پارچىسى,consonant,217.833,217.866,,,,,
Elise (C),218.0864,218.1564,m,217.8164,218.1564,مۇھىم,216.1862836,218.8748263,ئۇيغۇرلارنىڭ ئەمدى مەدەنىيەتنىڭ مۇھىم بىر پارچىسى,consonant,218.133,218.166,,,,,
Elise (C),218.3964,218.4264,p,218.3964,218.8764,پارچىسى,216.1862836,218.8748263,ئۇيغۇرلارنىڭ ئەمدى مەدەنىيەتنىڭ مۇھىم بىر پارچىسى,consonant,218.4,218.433,0,3,,,
Elise (C),218.8764,219.6846,,218.8764,219.6846,,218.8748263,219.6846,,consonant,219.666,219.7,,,,,
Elise (C),220.1146,220.1646,i,219.8746,220.5468764,بىلمىسە,219.6846,223.1391,تىل بىلمىسە دېمەك بۇ مەدەنىيەتنى يوقاتتى دېگەن گەپ,vowel,220.133,220.166,0,3,,,
Elise (C),221.4646,221.5246,n,221.2246,221.8945166,مەدەنىيەتنى,219.6846,223.1391,تىل بىلمىسە دېمەك بۇ مەدەنىيەتنى يوقاتتى دېگەن گەپ,consonant,221.466,221.5,0,4,,,
Elise (C),221.8945166,222.1346,,221.8945166,222.1346,,219.6846,223.1391,تىل بىلمىسە دېمەك بۇ مەدەنىيەتنى يوقاتتى دېگەن گەپ,consonant,222,222.033,,,,,
Elise (C),222.2446,222.3446,q,222.1346,222.5646,يوقاتتى,219.6846,223.1391,تىل بىلمىسە دېمەك بۇ مەدەنىيەتنى يوقاتتى دېگەن گەپ,consonant,222.3,222.333,0,3,,,
Elise (C),223.7466,223.8666,t,223.7466,224.0166,تىل,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,223.766,223.8,1,1,,,
Elise (C),225.2966,225.3566,ɛ,225.1966,225.4666,سەن,223.5066,231.4567368,ئەگەر تىل بىلمىسە سەن سەن كىم دېسە مەن ئۇيغۇر دەسە ئۇيغۇرچە بىلمىسە ئۇ ئۆزىنى قانداق ئۇيغۇر دەپ ئېيتالايدۇ تىلنى بىلىش كېرەك,consonant,225.3,225.333,1,1,,,
