rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio	minf0_loc_ms	minf0_loc_ratio
mɛn	217.53017244019034	84.2268248924594	16.426366037967416	170.24006279363576	85.18111670162124	67.41906217350267	250	-207.85782221173835	-12.547847358876664	34.64035900748641	0.13856143602994564	250	1
qa	226.18128065574254	76.75293727866352	18.71022798700856	184.87128900729314	209.40719218060906	69.17654504452992	171.72432605903154	233.29646654424948	21.374454875908576	171.72432605903154	1	25.363628324210907	0.14769968184642615
za	393.30938996841337	226.18128065574254	9.578221162108676	--undefined--	346.69286671917257	65.21290047986811	108.2756739409696	94.59841377734696	75.38448138346563	108.2756739409696	1	0	0
qis	487.2727590106927	288.0122305132782	9.103193922214537	481.65396136457014	335.5942719874822	65.31067604406562	189.99999999999773	-97.41132419535249	-85.95001278171817	59.02420147130627	0.31065369195424725	189.99999999999773	1
tan	288.0122305132782	186.31378025277547	7.540748324068836	198.42038581921753	193.1433055426401	65.07511595814697	179.99999999999972	-97.41132419535249	-14.08526720767498	0	0	179.99999999999972	1
ʁa	186.31378025277547	178.56625291355766	0.7352991746076878	182.0976135680024	180.88808209187738	61.54845995507668	100.00000000000142	9.940388428829472	-3.5427092875594512	0	0	87.08661764522674	0.8708661764522551
bar	188.9834510996219	176.3286613358543	1.1999149145412495	182.69173305474106	177.24559372457028	63.487925471564594	193.15996868069618	10.673398868742366	-4.37681493446345	53.597562293894896	0.2774775884463646	184.61134981190597	0.955743320279154
ʁan	189.57436197771634	176.68858295383518	1.2186605623006344	182.23138405710088	188.6302125299159	62.03414004813926	206.8400313193024	-14.245767302287287	-3.226262267216282	184.67925810071506	0.8928603274847827	0	0
di	185.95160280624756	175.6501418799084	0.9866692968014199	180.84506763922982	184.37773874430647	59.95848720454931	100.00000000000142	14.34201610480303	8.584431363175689	67.50608448893303	0.6750608448893207	23.8841236819205	0.2388412368192016
t͡ʃu	262.0934331238756	185.86017405406568	5.950362512271274	212.6371578385064	251.4784698768312	66.59599787191897	249.90396874082776	-88.55450815856912	-84.85846865118819	218.54809568598554	0.8745283109634765	0	0
nɛ	318.70466612995665	163.68395229870856	11.535687070170788	261.4351025204826	308.2428483797149	70.90189134444341	440.9326917763643	82.39283544107406	-17.951076586072627	374.6542348551394	0.8496857725513342	145.10365567626593	0.32908345963574126
ɡi	306.79521012989625	288.7095903278671	1.0518831254702192	299.9486327279145	303.8248570605562	65.24647734083405	66.39639727610103	-24.47562457453275	-4.054054849090812	46.268023356446975	0.6968453900299326	12.680719928866324	0.19098506017028533
la	294.8015025246261	268.43648291804385	1.6219574095831106	282.1068372243153	280.5101074529117	63.20415968477648	64.06034866331822	-35.17324721882039	-29.03706827775972	0	0	64.06034866331822	1
bar	255.69245760368324	218.40148012267633	2.729123653928914	228.58579814415646	224.53217108162724	60.87946183356935	140.00000000000057	-33.605785100763015	-15.041349310419175	0	0	140.00000000000057	1
sam	358.3962283690187	213.36060043737348	8.979139980647595	215.7205368805461	314.2465909904831	61.30589434823389	190.00000000000128	88.52940982942957	77.50048312209708	190.00000000000128	1	74.9154652898234	0.39429192257801526
al	430.6794744619846	191.03022728574425	14.073763562987649	256.8949195114732	199.0253587260747	64.31135338540672	199.9999999999993	-192.45952828780543	-1.3881036042461126	44.67814054910235	0.22339070274551256	104.33652954412409	0.5216826477206223
ma	201.23540144148012	185.02350291690465	1.4541070087078758	191.634835874085	185.79379332590378	63.63241506798097	160.00000000000014	-18.98870815665179	-0.6776098487762428	32.885738118970664	0.20553586324356646	92.80600617067591	0.5800375385667239
