rowLabel	maxf0	minf0	excursion_size	meanf0	finalf0	mean_intensity	duration	max_velocity	final_velocity	maxf0_loc_ms	maxf0_loc_ratio	minf0_loc_ms	minf0_loc_ratio
dɛj	263.0773601857415	149.8179465627738	9.747319747011058	241.5101578272089	261.7597851621857	70.02114587160582	151.318444239541	89.65932175362934	7.577197949472345	138.67411826538677	0.9164389639498411	0	0
mɛn	320.71309771445164	261.789336293492	3.5145233022989544	295.70895273135415	301.4308221500164	69.39167724334705	188.68155576045888	-61.186242683211574	-57.92597833479426	136.11911389327958	0.7214224694335779	0	0
uj	271.2429228844591	231.93580553449397	2.7103192810033114	236.88698423300417	240.62136751925033	68.62597098811112	150.00000000000034	-60.156048261504054	2.1076352438390162	0	0	56.79022545426449	0.37860150302842904
ʁur	269.17346394906673	224.52246495459207	3.140116652904984	251.24335707031085	228.41508452724446	64.39722688590032	135.16089572881106	32.53386326795193	8.989106921542248	67.93231714833681	0.5026033364312507	107.1412014743931	0.7926937809687418
ti	278.32694247340515	241.10006724669847	2.4857822061937807	254.28686968404935	249.6731953814342	62.449837501952544	117.13328582881921	-39.6177543191365	-38.93996350882801	61.95738770752257	0.528947747594721	117.13328582881921	1
li	255.8674315924317	239.32789939080564	1.1568952382353253	246.92233897166062	247.3474416464853	67.15110275667061	79.7718067282478	26.680409592656662	22.27403170368648	79.7718067282478	1	11.152505845783978	0.1398051053773462
ni	278.06363474522453	241.05187613562555	2.4728570692428633	264.5592333555551	244.01295983355683	63.1657441737896	97.93401171412164	22.713216522737348	11.476148336463059	38.78621453920594	0.3960443758030301	72.1393011627871	0.7366113151105087
ø	297.96064274826364	188.68922411212193	7.909316943852639	257.827259461215	227.0332506657647	68.42263201858933	70.00000000000028	-123.13101632599898	-123.13101632599447	25.194403553685518	0.3599200507669345	70.00000000000028	1
ɡɛn	236.94894618726062	176.18176737512852	5.130139364911718	215.71835685552554	231.199820380776	68.54991885088288	254.2281089887819	51.49849613191682	6.0387691500613965	254.2281089887819	1	44.20749282652814	0.17388908332114777
sɛ	426.3832402298963	236.94894618726062	10.17089384097744	328.00673463962863	408.33021590206056	63.28284152456416	409.9041259156113	80.60352269456348	-55.77497142684957	315.77964776098355	0.7703744065898825	0	0
baʃ	238.70184045830914	168.7373316783323	6.005165967377792	221.40542724611916	238.22854214730563	64.23180998829415	200.00000000000108	-206.68429476953685	0.7328631444136602	126.94424562704576	0.6347212281352254	43.91154672794251	0.21955773363971134
qa	237.35816227928615	233.86169629453298	0.2569209233363061	--undefined--	234.73581279072124	50.81383866836558	119.99999999999922	-2.185149892770302	-2.1516128599814013	0	0	119.99999999999922	1
til	237.67208202309365	229.2523831187562	0.6244286058081752	232.0919161829459	229.25414624891584	63.12055140266243	109.99999999999943	13.491089646761688	11.263360774369842	109.99999999999943	1	77.85081918362557	0.7077347198511452
lar	245.46389694414722	237.67208202309365	0.5584607893420106	243.85606107329986	245.24682050418502	69.90623973890567	158.7136354062757	12.953546968072681	1.467602038180773	156.21138493363242	0.9842341808488098	0	0
ʁi	248.0855115274966	244.56423217969342	0.24748871177085263	246.70829738975985	248.06713217702816	66.50151639011037	71.28636459372473	-13.694562843538794	-1.8922505625382606	44.94872330583277	0.6305374605929837	71.28636459372473	1
mu	244.56423217969342	230.96481032931095	0.9904843583891445	238.27938658897975	237.79726293085966	69.03215388195962	60.0000000000005	-20.0503661201833	-15.741568867461579	0	0	60.0000000000005	1
jol	230.96481032931095	185.6377990387509	3.7821907481252097	219.96571751804927	208.29125199301106	67.67865269867653	199.9999999999993	-60.141358192460174	-57.87574120861318	0	0	199.9999999999993	1
e	191.11296807711307	158.1170661847126	3.281191017292188	181.72443312355924	189.98985289253818	65.23177068277617	120.000000000001	-64.57205667234791	-4.72602741191387	92.57452844509295	0.7714544037091016	38.150544779638196	0.31792120649698236
t͡ʃi	184.13567517163014	90.1229583226083	12.369631088170078	91.19286242712644	91.45791544786172	57.38066406871323	160.00000000000014	-109.11031630283993	-24.239760747687622	0	0	160.00000000000014	1
li	90.1229583226083	81.14788765873934	1.8160935670473202	84.78733863100162	81.36414858659437	63.45415218552374	109.99999999999943	40.44961656939974	30.88320603782572	0	0	71.72138536414785	0.6520125942195293
